"","x","y","Cell_class"
"1405",1381.139186,3368.381923,"Excitatory"
"1406",1449.766548,3307.656841,"Excitatory"
"1407",1449.918008,3202.885655,"Excitatory"
"1408",1469.649599,3257.053596,"Inhibitory"
"1409",1483.521625,3234.830659,"OD Mature 2"
"1410",1420.673997,3256.294916,"Astrocyte"
"1411",1427.146847,3279.874807,"Inhibitory"
"1413",1467.283444,3231.240968,"Endothelial 1"
"1414",1518.620533,3225.73326,"Excitatory"
"1415",1384.916172,3191.74992,"Endothelial 1"
"1416",1386.930134,3197.27237,"Astrocyte"
"1417",1505.773265,3298.961928,"Excitatory"
"1418",1425.424932,3228.236483,"Inhibitory"
"1419",1437.743841,3222.81259,"Excitatory"
"1420",1337.148305,3494.025809,"Inhibitory"
"1421",1338.04699,3545.730676,"Inhibitory"
"1422",1346.367701,3561.809388,"Inhibitory"
"1423",1365.83839,3426.156593,"Astrocyte"
"1424",1368.073646,3490.180409,"Inhibitory"
"1425",1367.103842,3513.199141,"Inhibitory"
"1428",1380.829189,3554.385555,"Excitatory"
"1429",1399.964081,3481.399468,"Inhibitory"
"1430",1409.795991,3479.395105,"Inhibitory"
"1431",1410.251348,3429.776747,"Inhibitory"
"1432",1415.357119,3449.010292,"Excitatory"
"1433",1419.789441,3471.295405,"Endothelial 3"
"1434",1421.154244,3493.246182,"Excitatory"
"1435",1432.91456,3478.442736,"Inhibitory"
"1436",1440.154643,3403.953721,"Inhibitory"
"1437",1447.074556,3503.944953,"OD Immature 1"
"1438",1447.047412,3467.961162,"Excitatory"
"1439",1448.325674,3488.06587,"Inhibitory"
"1440",1449.568099,3543.75034,"Inhibitory"
"1441",1451.229986,3533.050128,"Inhibitory"
"1442",1458.276611,3569.364278,"Inhibitory"
"1443",1457.737048,3462.771921,"Excitatory"
"1444",1459.271516,3506.708777,"OD Mature 2"
"1445",1460.51404,3396.957832,"Endothelial 3"
"1447",1485.46501,3522.515004,"Astrocyte"
"1448",1487.923714,3388.19429,"OD Immature 1"
"1449",1496.128493,3481.2327,"Astrocyte"
"1450",1495.992327,3540.946022,"Inhibitory"
"1451",1499.825602,3558.628655,"Inhibitory"
"1452",1502.648141,3413.340384,"Inhibitory"
"1453",1511.291942,3487.808764,"Inhibitory"
"1454",1514.758543,3513.635488,"Inhibitory"
"1455",1521.539402,3443.230597,"Inhibitory"
"1456",1348.675376,3414.165826,"Inhibitory"
"1457",1365.15783,3405.179336,"Excitatory"
"1458",1378.954699,3488.724041,"Astrocyte"
"1459",1397.103601,3532.040656,"Inhibitory"
"1460",1423.251126,3504.79247,"Excitatory"
"1461",1428.150969,3539.54958,"Inhibitory"
"1462",1440.572449,3569.871644,"Excitatory"
"1463",1461.899862,3476.066275,"Excitatory"
"1464",1494.934756,3471.843265,"Astrocyte"
"1465",1515.141675,3409.309901,"Inhibitory"
"1466",1336.603415,3415.924919,"Inhibitory"
"1467",1351.599917,3481.072591,"Inhibitory"
"1468",1366.377939,3449.129905,"Inhibitory"
"1470",1413.568326,3504.130358,"Inhibitory"
"1471",1421.8345,3440.667789,"OD Mature 3"
"1472",1460.223529,3424.190089,"Excitatory"
"1473",1489.912105,3545.303849,"OD Immature 1"
"1475",1338.512963,3395.091779,"Excitatory"
"1476",1402.049156,3442.819596,"Excitatory"
"1478",1444.196544,3453.290632,"Inhibitory"
"1479",1505.359206,3512.888917,"Inhibitory"
"1480",1505.31217,3444.090959,"Inhibitory"
"1482",1337.782395,3723.669574,"Excitatory"
"1483",1340.620861,3735.368954,"Inhibitory"
"1484",1348.87959,3678.698104,"Excitatory"
"1485",1351.240016,3632.83501,"Excitatory"
"1486",1355.640324,3735.537245,"OD Mature 1"
"1487",1366.168316,3652.529865,"Excitatory"
"1488",1375.985199,3761.918242,"Inhibitory"
"1489",1384.751523,3638.712211,"Astrocyte"
"1491",1389.741739,3585.505111,"Inhibitory"
"1492",1389.803135,3733.464888,"Inhibitory"
"1493",1395.518805,3667.087313,"Excitatory"
"1494",1401.853494,3748.079035,"Endothelial 3"
"1495",1400.805838,3724.285317,"Astrocyte"
"1496",1407.573857,3689.156266,"Inhibitory"
"1497",1411.228876,3756.388566,"Astrocyte"
"1498",1415.635237,3678.236939,"Excitatory"
"1499",1415.616015,3765.853461,"Astrocyte"
"1500",1420.040653,3640.494344,"Inhibitory"
"1501",1417.491506,3727.870431,"Inhibitory"
"1502",1430.516044,3655.033248,"Inhibitory"
"1503",1431.691064,3721.541824,"Excitatory"
"1504",1438.300156,3618.241565,"Endothelial 1"
"1505",1438.936105,3762.1201,"Excitatory"
"1506",1440.078326,3645.736439,"Astrocyte"
"1507",1437.962939,3602.252515,"Inhibitory"
"1508",1452.092352,3637.782194,"Inhibitory"
"1509",1455.793228,3612.497432,"Excitatory"
"1510",1461.260933,3716.009981,"Inhibitory"
"1511",1463.778647,3704.179883,"OD Immature 1"
"1512",1469.264174,3629.584022,"Inhibitory"
"1515",1479.303582,3734.403487,"Inhibitory"
"1516",1478.653165,3585.632847,"Inhibitory"
"1517",1482.882896,3641.958579,"Astrocyte"
"1518",1487.802832,3752.95363,"Inhibitory"
"1519",1490.768646,3713.707276,"Inhibitory"
"1520",1494.410515,3595.573041,"Inhibitory"
"1522",1504.44901,3596.691606,"Inhibitory"
"1526",1511.410877,3744.157244,"Inhibitory"
"1527",1516.51728,3719.177824,"Endothelial 1"
"1528",1516.075589,3637.00797,"Inhibitory"
"1529",1334.760707,3626.443734,"Excitatory"
"1530",1359.672196,3586.794469,"Excitatory"
"1531",1363.8569,3680.175015,"Inhibitory"
"1532",1365.113732,3641.016964,"Inhibitory"
"1533",1400.43562,3657.878202,"Inhibitory"
"1535",1420.584449,3752.451573,"Inhibitory"
"1536",1431.212589,3673.620837,"Astrocyte"
"1537",1451.60448,3651.836325,"Inhibitory"
"1538",1450.464959,3677.586701,"Astrocyte"
"1539",1455.094462,3685.680504,"Inhibitory"
"1541",1472.094145,3675.519233,"Inhibitory"
"1542",1487.934843,3704.079375,"Inhibitory"
"1543",1344.404453,3605.851091,"Inhibitory"
"1544",1354.517706,3669.786827,"Inhibitory"
"1545",1358.090131,3604.618228,"Endothelial 1"
"1546",1372.021885,3602.752127,"Inhibitory"
"1547",1397.713344,3730.593504,"Microglia"
"1548",1490.834274,3665.940181,"Inhibitory"
"1549",1499.020393,3682.591583,"Inhibitory"
"1550",1398.69735,3695.596864,"Inhibitory"
"1551",1411.732974,3599.478319,"Inhibitory"
"1552",1516.434467,3681.18162,"Inhibitory"
"1553",1404.49983,3632.088531,"Inhibitory"
"1554",1521.080172,3768.539489,"Astrocyte"
"1556",1337.018699,3908.22752,"Astrocyte"
"1557",1345.5754,3928.733276,"Excitatory"
"1558",1350.078401,3852.097529,"Endothelial 1"
"1559",1350.578338,3912.425115,"Endothelial 3"
"1560",1351.749251,3791.877386,"Astrocyte"
"1561",1353.856431,3946.612768,"Astrocyte"
"1562",1361.969121,3863.263149,"Inhibitory"
"1563",1362.562883,3930.657982,"OD Mature 2"
"1565",1364.855688,3853.592157,"Astrocyte"
"1566",1369.787175,3926.088766,"Inhibitory"
"1567",1379.013024,3805.162211,"Inhibitory"
"1568",1386.608903,3913.758693,"OD Immature 1"
"1569",1394.414514,3870.393554,"OD Mature 2"
"1570",1394.412474,3888.972692,"Inhibitory"
"1571",1399.24672,3856.276271,"Endothelial 1"
"1572",1397.88644,3877.785627,"Inhibitory"
"1573",1401.471004,3833.510686,"Astrocyte"
"1574",1401.927824,3895.656808,"Astrocyte"
"1575",1405.922434,3958.794419,"Endothelial 1"
"1576",1423.552507,3946.541114,"Endothelial 3"
"1578",1424.942821,3915.504968,"OD Mature 2"
"1579",1432.857977,3883.705377,"OD Immature 1"
"1580",1435.215408,3842.669322,"Inhibitory"
"1581",1434.179302,3789.465418,"Inhibitory"
"1583",1436.289203,3862.450018,"Inhibitory"
"1584",1439.598624,3906.48057,"Astrocyte"
"1585",1453.953519,3910.328664,"Inhibitory"
"1586",1459.701181,3950.242845,"Astrocyte"
"1587",1460.191873,3812.036809,"Excitatory"
"1588",1468.106517,3867.527101,"Inhibitory"
"1590",1473.851008,3897.325952,"OD Mature 1"
"1591",1476.424714,3814.487673,"Inhibitory"
"1592",1478.970901,3948.95248,"Excitatory"
"1593",1490.860128,3835.378123,"Excitatory"
"1594",1496.920557,3932.449346,"Excitatory"
"1596",1500.032566,3908.839186,"Excitatory"
"1598",1500.678963,3954.915515,"OD Mature 3"
"1600",1498.95137,3946.046797,"OD Immature 1"
"1601",1502.131359,3932.085439,"Excitatory"
"1602",1505.755495,3922.723702,"Inhibitory"
"1603",1509.422201,3844.907914,"Endothelial 2"
"1604",1510.472464,3898.624043,"Endothelial 3"
"1605",1513.012683,3877.175262,"Endothelial 1"
"1608",1400.434377,3794.906545,"Excitatory"
"1609",1417.052109,3794.145794,"Inhibitory"
"1611",1445.548907,3850.149206,"Inhibitory"
"1612",1456.017306,3930.546716,"Endothelial 1"
"1613",1332.229051,3952.481108,"OD Mature 2"
"1614",1360.888671,3960.680516,"Inhibitory"
"1615",1416.758043,3948.163171,"OD Mature 2"
"1616",1429.007939,3817.031744,"Astrocyte"
"1617",1472.047043,3961.029869,"Excitatory"
"1618",1478.308743,3794.664095,"Inhibitory"
"1619",1506.836723,3941.268865,"Excitatory"
"1620",1336.921281,4167.058029,"Inhibitory"
"1621",1341.88845,4122.39966,"Excitatory"
"1623",1343.556006,4040.709352,"OD Mature 2"
"1624",1350.099538,4085.14216,"OD Mature 2"
"1625",1349.8873,4015.02147,"OD Mature 2"
"1626",1358.211243,4159.339111,"Endothelial 3"
"1627",1365.252148,4043.761929,"OD Mature 2"
"1629",1368.379966,4057.371005,"OD Mature 2"
"1630",1371.365929,4154.619851,"OD Mature 2"
"1633",1384.079091,4012.677454,"OD Mature 1"
"1634",1393.421533,3994.507643,"Astrocyte"
"1635",1392.862258,4142.430238,"OD Mature 2"
"1636",1393.351349,4164.484123,"Inhibitory"
"1637",1391.18661,4081.111733,"OD Mature 1"
"1638",1406.826594,4100.878951,"OD Mature 1"
"1639",1411.148638,4017.113712,"Astrocyte"
"1641",1423.54556,4031.267332,"Excitatory"
"1644",1428.75241,4160.074186,"Excitatory"
"1647",1451.318553,4113.206521,"Endothelial 1"
"1648",1454.560617,4136.49739,"Astrocyte"
"1649",1471.93325,4055.743656,"OD Immature 1"
"1650",1468.509524,4005.60392,"Inhibitory"
"1651",1471.10939,4168.673827,"OD Immature 1"
"1652",1475.754274,4160.802829,"Excitatory"
"1653",1481.271046,4141.020668,"Excitatory"
"1654",1482.446366,4087.369801,"Excitatory"
"1655",1484.234865,4096.520093,"Excitatory"
"1656",1485.594271,4005.386264,"Inhibitory"
"1657",1493.748257,4111.227127,"Endothelial 1"
"1658",1504.176903,4070.738809,"Astrocyte"
"1659",1508.41425,4076.67253,"Astrocyte"
"1660",1508.027683,4091.623275,"Excitatory"
"1661",1511.318357,4054.937928,"Inhibitory"
"1663",1514.694285,4033.848493,"Astrocyte"
"1664",1517.456018,4142.553095,"Endothelial 1"
"1665",1519.144073,4174.653057,"Excitatory"
"1666",1524.998829,4102.505546,"Endothelial 3"
"1668",1361.443031,4029.029101,"OD Mature 2"
"1670",1408.71126,4060.867686,"Excitatory"
"1671",1410.335489,4138.635914,"Inhibitory"
"1672",1423.320752,4043.055601,"Excitatory"
"1673",1431.420792,4070.718492,"OD Mature 1"
"1674",1440.592369,4052.181221,"Endothelial 3"
"1676",1460.647029,4094.939195,"OD Mature 2"
"1677",1506.090472,4118.655014,"OD Mature 2"
"1678",1507.696801,4022.949956,"OD Mature 2"
"1680",1513.432924,4011.876343,"Excitatory"
"1681",1340.603591,4034.037044,"OD Mature 1"
"1682",1348.367467,4156.289517,"Excitatory"
"1683",1389.02015,4030.690876,"OD Mature 1"
"1684",1405.511301,4158.554625,"Excitatory"
"1685",1422.58696,4003.123388,"OD Mature 2"
"1686",1474.9764,4028.235223,"Excitatory"
"1687",1476.903261,4122.974892,"Excitatory"
"1688",1520.205552,3989.251663,"Inhibitory"
"1689",1348.319117,4024.052272,"OD Mature 2"
"1690",1422.388567,4123.98179,"Excitatory"
"1691",1424.380711,4016.212023,"OD Mature 4"
"1692",1436.673299,4005.843352,"OD Mature 2"
"1693",1446.651312,4020.189169,"Astrocyte"
"1694",1506.300498,4101.115754,"Excitatory"
"1695",1538.692712,4088.417924,"Endothelial 1"
"1696",1545.822477,4151.012716,"Excitatory"
"1697",1546.543014,4133.505065,"Excitatory"
"1698",1549.150899,4038.890999,"Microglia"
"1700",1556.748387,4144.274575,"Excitatory"
"1701",1560.317939,4022.194468,"Endothelial 3"
"1702",1563.54925,4091.556981,"Excitatory"
"1703",1572.830424,4150.209149,"Endothelial 3"
"1704",1576.172832,4012.937139,"Endothelial 1"
"1705",1576.504806,4070.909335,"Excitatory"
"1706",1577.965714,4107.522776,"Excitatory"
"1707",1575.995926,4118.182194,"Excitatory"
"1708",1576.064505,4053.405819,"Astrocyte"
"1710",1579.093468,3991.129637,"Inhibitory"
"1711",1591.461609,4144.366074,"Excitatory"
"1712",1593.115928,3985.562785,"OD Mature 1"
"1713",1605.463136,4128.821785,"Endothelial 1"
"1714",1607.505816,4106.655754,"Excitatory"
"1716",1627.913839,4033.571561,"Inhibitory"
"1717",1629.491729,4061.274893,"Inhibitory"
"1718",1627.527269,4099.369669,"Excitatory"
"1719",1635.352587,4130.869924,"Excitatory"
"1720",1639.265662,4164.518536,"Excitatory"
"1721",1638.063186,4105.85509,"Excitatory"
"1722",1640.905646,4059.385014,"Excitatory"
"1723",1643.041031,4093.430409,"Astrocyte"
"1724",1642.539395,4078.217892,"Excitatory"
"1725",1652.091871,4027.945016,"Excitatory"
"1726",1656.335043,4164.837343,"Excitatory"
"1727",1658.599376,3997.763933,"Astrocyte"
"1728",1658.996169,4043.264862,"Excitatory"
"1730",1671.967488,4059.228027,"Excitatory"
"1731",1675.341435,4049.38256,"Excitatory"
"1732",1682.521653,4090.204857,"Excitatory"
"1733",1691.706676,4021.47228,"Endothelial 3"
"1734",1691.066513,4149.472222,"Excitatory"
"1735",1699.755005,4028.946192,"Ependymal"
"1736",1704.422394,4139.082074,"Astrocyte"
"1737",1703.815202,4053.1077,"Ependymal"
"1738",1704.636641,3989.529632,"Ependymal"
"1739",1705.912757,4001.96793,"Ependymal"
"1740",1710.084051,4036.005564,"Ependymal"
"1741",1716.610599,4061.196584,"Ependymal"
"1742",1721.847528,4067.77763,"Ependymal"
"1743",1557.348455,3999.804174,"Astrocyte"
"1744",1591.226102,4100.318199,"Excitatory"
"1747",1621.610262,4161.166629,"Excitatory"
"1748",1622.690602,4079.067118,"Excitatory"
"1749",1652.445879,4130.597622,"Excitatory"
"1751",1707.721871,4029.353507,"Ependymal"
"1752",1706.970949,4097.852044,"Excitatory"
"1753",1537.566683,4013.532583,"Endothelial 3"
"1754",1593.622514,3998.457481,"Microglia"
"1755",1598.28715,3995.980512,"Astrocyte"
"1756",1609.901699,4032.42681,"Excitatory"
"1757",1612.819543,4115.118915,"Excitatory"
"1759",1664.499112,4087.33213,"Excitatory"
"1760",1662.653894,4056.758042,"Excitatory"
"1761",1675.714134,4162.360395,"Excitatory"
"1762",1676.673609,4113.03111,"Excitatory"
"1763",1678.926389,4150.826346,"Excitatory"
"1764",1592.869224,4079.068094,"Excitatory"
"1765",1684.443372,4126.729037,"Excitatory"
"1766",1534.684415,4093.933394,"Excitatory"
"1767",1605.561167,4098.690518,"Endothelial 1"
"1768",1642.278281,4143.929366,"Excitatory"
"1769",1645.218264,4152.854042,"Excitatory"
"1770",1542.209711,3909.204224,"OD Mature 2"
"1771",1543.596641,3864.815515,"Inhibitory"
"1772",1544.664445,3884.056335,"OD Mature 2"
"1773",1555.796472,3837.441951,"Inhibitory"
"1774",1562.877095,3813.874188,"OD Immature 1"
"1775",1564.857661,3808.474071,"OD Immature 1"
"1776",1565.826449,3888.642784,"Endothelial 1"
"1778",1575.613244,3807.956116,"Excitatory"
"1779",1577.375407,3921.238144,"Excitatory"
"1780",1581.408879,3943.511382,"Astrocyte"
"1781",1581.201058,3836.368913,"Astrocyte"
"1784",1592.375882,3783.713819,"Endothelial 1"
"1785",1601.588733,3834.927634,"Astrocyte"
"1786",1603.395737,3966.95073,"Astrocyte"
"1787",1602.737157,3803.286419,"Inhibitory"
"1788",1603.858774,3859.07916,"Astrocyte"
"1790",1618.476303,3879.255022,"Endothelial 3"
"1791",1626.76981,3829.708839,"Inhibitory"
"1792",1629.044191,3862.099515,"Inhibitory"
"1793",1633.629866,3878.187134,"Astrocyte"
"1794",1648.856267,3898.376658,"Inhibitory"
"1795",1650.742359,3808.684331,"Astrocyte"
"1796",1654.109105,3829.169831,"Astrocyte"
"1797",1657.166361,3805.591081,"Endothelial 1"
"1798",1663.466696,3971.444694,"Astrocyte"
"1799",1668.985905,3787.666208,"Excitatory"
"1800",1670.685622,3856.197304,"Endothelial 1"
"1801",1675.513553,3830.790055,"Endothelial 1"
"1802",1675.603133,3841.99972,"Astrocyte"
"1803",1678.113596,3889.080565,"Ependymal"
"1804",1679.671224,3821.337685,"Endothelial 1"
"1805",1683.132327,3938.055646,"Ependymal"
"1806",1681.55535,3897.5613,"Ependymal"
"1807",1687.544612,3848.948746,"Endothelial 3"
"1808",1687.791886,3871.600732,"Ependymal"
"1809",1688.66132,3793.681877,"Endothelial 2"
"1810",1688.016141,3865.010209,"Ependymal"
"1811",1690.624621,3892.658231,"Ependymal"
"1812",1695.843288,3930.450048,"Ependymal"
"1813",1697.749398,3912.060646,"Ependymal"
"1814",1696.067466,3958.822034,"Inhibitory"
"1815",1696.971093,3966.278981,"Inhibitory"
"1816",1702.160395,3845.6344,"Ependymal"
"1817",1699.589949,3918.947602,"Ependymal"
"1818",1701.29701,3902.967935,"Ependymal"
"1819",1698.810037,3793.667885,"Astrocyte"
"1820",1553.304818,3905.171161,"OD Immature 1"
"1822",1633.08386,3956.872592,"Astrocyte"
"1825",1667.699648,3927.516113,"Astrocyte"
"1826",1699.621404,3817.898471,"Inhibitory"
"1827",1708.126202,3821.234499,"Ependymal"
"1828",1715.611151,3811.633891,"Ependymal"
"1829",1682.183489,3909.487031,"Inhibitory"
"1830",1692.751572,3845.141379,"Ependymal"
"1831",1696.009432,3830.891108,"Ependymal"
"1832",1696.521121,3837.447014,"Ependymal"
"1833",1542.411976,3747.288214,"Inhibitory"
"1834",1542.654334,3713.311694,"Inhibitory"
"1835",1545.058285,3670.163519,"Inhibitory"
"1836",1550.837238,3662.032647,"OD Immature 1"
"1837",1557.736071,3677.876574,"Inhibitory"
"1838",1566.232114,3741.401518,"Inhibitory"
"1839",1565.404875,3710.901738,"Inhibitory"
"1840",1567.539399,3767.011289,"Endothelial 1"
"1841",1573.737837,3642.288472,"Inhibitory"
"1842",1584.57819,3664.847018,"Excitatory"
"1843",1585.237672,3647.090122,"Excitatory"
"1844",1586.652363,3762.923731,"Astrocyte"
"1845",1587.790723,3708.88556,"Inhibitory"
"1846",1593.959419,3697.334993,"Endothelial 1"
"1847",1593.708095,3636.206633,"Inhibitory"
"1848",1593.175012,3735.368109,"Inhibitory"
"1849",1597.18132,3661.909438,"Inhibitory"
"1851",1599.810738,3599.564752,"Inhibitory"
"1852",1608.283551,3624.777115,"Astrocyte"
"1853",1610.149102,3743.97016,"Inhibitory"
"1854",1619.094152,3666.582708,"Inhibitory"
"1855",1619.436826,3710.783488,"Astrocyte"
"1856",1621.649009,3622.57119,"Inhibitory"
"1857",1625.447597,3641.187561,"Endothelial 3"
"1858",1632.637222,3606.260252,"Inhibitory"
"1859",1631.863786,3700.138451,"Endothelial 1"
"1860",1633.8933,3635.444178,"Astrocyte"
"1861",1639.57287,3601.675427,"Inhibitory"
"1862",1639.331884,3717.276941,"Inhibitory"
"1863",1639.375903,3737.075526,"Inhibitory"
"1864",1643.464854,3770.600427,"Endothelial 1"
"1865",1651.593972,3664.986197,"Excitatory"
"1866",1659.333563,3727.261789,"Inhibitory"
"1867",1661.892067,3610.701534,"Inhibitory"
"1868",1662.53995,3711.190499,"Inhibitory"
"1869",1665.283506,3755.510226,"Astrocyte"
"1870",1664.731544,3661.731272,"Inhibitory"
"1871",1667.847799,3690.167321,"Astrocyte"
"1872",1672.167223,3728.340001,"Excitatory"
"1873",1673.494676,3676.970294,"Inhibitory"
"1874",1673.82219,3635.187113,"Inhibitory"
"1875",1677.265947,3603.206852,"Excitatory"
"1876",1680.315599,3685.19514,"Inhibitory"
"1877",1680.677751,3706.328762,"Inhibitory"
"1878",1689.639777,3715.988271,"Inhibitory"
"1879",1691.223229,3623.266268,"Inhibitory"
"1880",1695.081566,3586.877617,"Inhibitory"
"1882",1706.954169,3714.52176,"Inhibitory"
"1883",1556.666378,3694.954348,"Inhibitory"
"1884",1568.689494,3612.531381,"Inhibitory"
"1885",1676.001741,3721.133366,"Inhibitory"
"1886",1712.899061,3719.712545,"Astrocyte"
"1888",1676.781745,3659.558339,"Inhibitory"
"1889",1591.283594,3702.693718,"Excitatory"
"1890",1662.005779,3601.005786,"Inhibitory"
"1891",1547.786304,3590.072151,"Inhibitory"
"1892",1566.877421,3657.723149,"Inhibitory"
"1893",1595.11536,3625.959898,"Inhibitory"
"1894",1614.264874,3597.094277,"Inhibitory"
"1895",1632.989276,3648.206436,"Inhibitory"
"1896",1690.69648,3643.303006,"Excitatory"
"1897",1545.217035,3458.160904,"Inhibitory"
"1898",1547.040158,3499.086188,"Inhibitory"
"1899",1554.444521,3413.127471,"Endothelial 3"
"1900",1558.195775,3476.651486,"Inhibitory"
"1901",1562.133079,3493.061464,"Inhibitory"
"1902",1564.066708,3538.702911,"Endothelial 1"
"1903",1572.571979,3399.999841,"Astrocyte"
"1905",1577.427515,3459.216547,"Inhibitory"
"1906",1585.616374,3427.044433,"Inhibitory"
"1909",1602.782378,3563.595112,"Inhibitory"
"1911",1615.970703,3384.850276,"Endothelial 3"
"1912",1615.293781,3436.460531,"Inhibitory"
"1913",1617.286023,3508.520422,"Inhibitory"
"1914",1619.921468,3461.989412,"Astrocyte"
"1915",1622.864073,3439.194003,"OD Mature 2"
"1916",1623.989495,3392.63321,"Endothelial 2"
"1917",1629.064994,3464.187953,"Excitatory"
"1918",1630.251191,3408.228451,"Endothelial 3"
"1919",1633.890128,3514.023591,"Inhibitory"
"1920",1645.612103,3553.867872,"Excitatory"
"1921",1648.397225,3433.621196,"Endothelial 3"
"1922",1654.243076,3411.595285,"Inhibitory"
"1923",1656.054066,3501.784804,"Inhibitory"
"1924",1654.059994,3457.642622,"OD Immature 1"
"1925",1668.912277,3407.888447,"Astrocyte"
"1926",1668.298014,3539.479984,"Excitatory"
"1927",1674.627577,3464.79713,"Inhibitory"
"1928",1677.81305,3449.353182,"Excitatory"
"1929",1680.03445,3471.221772,"Microglia"
"1930",1679.361868,3495.678916,"Inhibitory"
"1931",1684.959437,3390.105863,"Inhibitory"
"1932",1688.541717,3539.490831,"Inhibitory"
"1933",1689.585172,3473.263721,"OD Mature 2"
"1934",1701.549231,3423.012271,"Inhibitory"
"1935",1701.161089,3554.664153,"Inhibitory"
"1936",1703.274001,3519.394623,"OD Mature 2"
"1937",1705.256425,3452.253561,"Astrocyte"
"1938",1711.704553,3539.051625,"Astrocyte"
"1939",1711.346153,3491.373419,"Inhibitory"
"1940",1713.188615,3401.710019,"OD Immature 1"
"1941",1722.783562,3507.593914,"Astrocyte"
"1942",1549.371847,3551.904662,"Inhibitory"
"1943",1611.727256,3522.249191,"Inhibitory"
"1944",1633.501167,3488.100402,"Inhibitory"
"1945",1650.261626,3567.1758,"Astrocyte"
"1946",1681.73779,3559.835385,"Inhibitory"
"1947",1539.607719,3571.241823,"Inhibitory"
"1948",1542.890556,3423.320506,"Inhibitory"
"1949",1574.92142,3535.424242,"Astrocyte"
"1950",1593.812139,3426.155385,"Excitatory"
"1951",1594.144711,3483.507268,"Inhibitory"
"1952",1644.591018,3543.630363,"Excitatory"
"1953",1701.625991,3497.495253,"Excitatory"
"1954",1708.069508,3503.51014,"Inhibitory"
"1955",1715.700208,3515.925045,"Inhibitory"
"1956",1615.865964,3479.032001,"Inhibitory"
"1957",1629.241099,3513.083038,"Inhibitory"
"1958",1602.202052,3539.792523,"Excitatory"
"1959",1624.030575,3432.661958,"Astrocyte"
"1960",1657.880684,3568.532821,"Inhibitory"
"1961",1541.663461,3236.062537,"Inhibitory"
"1962",1547.512807,3247.640135,"Excitatory"
"1963",1550.393187,3315.153923,"Excitatory"
"1964",1550.870411,3342.276338,"Excitatory"
"1965",1550.710402,3363.800739,"Astrocyte"
"1966",1551.416763,3286.879049,"Excitatory"
"1967",1554.45887,3263.073782,"Inhibitory"
"1968",1561.974804,3267.866577,"Inhibitory"
"1970",1564.258253,3361.890555,"Inhibitory"
"1971",1568.748779,3212.258423,"Excitatory"
"1972",1577.991913,3245.846851,"OD Immature 1"
"1973",1579.826005,3335.74075,"Excitatory"
"1974",1581.559679,3257.717634,"Excitatory"
"1975",1584.489543,3361.544653,"Inhibitory"
"1976",1589.337141,3298.283613,"Inhibitory"
"1979",1596.966815,3333.193968,"Astrocyte"
"1980",1615.976856,3216.87108,"OD Mature 1"
"1981",1621.352332,3273.177081,"Excitatory"
"1982",1624.730471,3354.465306,"Endothelial 2"
"1983",1625.079731,3230.790686,"Inhibitory"
"1984",1631.336465,3208.534882,"Astrocyte"
"1985",1635.190603,3276.461527,"Inhibitory"
"1986",1638.915072,3340.003625,"Inhibitory"
"1987",1639.537893,3370.763055,"Astrocyte"
"1988",1649.218794,3343.180677,"Excitatory"
"1989",1653.486368,3317.471987,"Excitatory"
"1990",1655.616258,3344.720527,"Endothelial 1"
"1991",1655.837398,3279.925319,"Excitatory"
"1992",1657.724952,3299.344381,"Inhibitory"
"1993",1655.959309,3359.671775,"Inhibitory"
"1994",1660.575366,3240.7905,"Excitatory"
"1995",1670.765876,3200.388276,"Excitatory"
"1996",1671.287885,3227.001092,"Excitatory"
"1997",1676.123874,3258.126627,"Excitatory"
"1998",1686.16434,3234.086124,"Astrocyte"
"1999",1700.802572,3224.502305,"Inhibitory"
"2000",1701.957233,3289.799739,"Astrocyte"
"2001",1701.065355,3270.6347,"Inhibitory"
"2002",1703.965633,3201.296551,"Excitatory"
"2003",1706.482614,3341.812391,"Endothelial 1"
"2005",1707.559451,3358.928998,"Endothelial 3"
"2007",1720.136172,3199.792387,"Excitatory"
"2008",1545.709122,3200.139205,"Excitatory"
"2009",1557.091212,3332.012728,"Excitatory"
"2010",1561.019731,3221.53812,"Inhibitory"
"2011",1567.522934,3289.409101,"Inhibitory"
"2012",1567.739209,3358.534184,"OD Immature 2"
"2014",1576.643141,3298.895268,"Inhibitory"
"2015",1582.752473,3227.409985,"Inhibitory"
"2016",1592.103655,3349.970513,"Inhibitory"
"2018",1600.644685,3254.902815,"Inhibitory"
"2019",1606.432605,3303.51981,"Astrocyte"
"2020",1623.734888,3261.199739,"Astrocyte"
"2021",1624.499242,3328.534968,"Inhibitory"
"2022",1633.003214,3264.051445,"Endothelial 3"
"2023",1642.626346,3230.724856,"Inhibitory"
"2024",1658.817479,3262.579272,"Inhibitory"
"2025",1664.761789,3270.44768,"Inhibitory"
"2026",1688.515215,3324.855518,"Astrocyte"
"2027",1686.935679,3292.6073,"Inhibitory"
"2029",1548.351014,3189.966855,"Inhibitory"
"2030",1574.137962,3249.412537,"OD Immature 1"
"2031",1624.172489,3292.964384,"Excitatory"
"2032",1690.193588,3186.254735,"Astrocyte"
"2033",1696.998041,3188.242244,"Endothelial 1"
"2034",1626.532897,3204.102976,"Astrocyte"
"2035",1615.564699,3253.079799,"Inhibitory"
"2036",1656.062221,3207.542494,"Astrocyte"
"2037",1683.623715,3185.5165,"Microglia"
